epoch,acc,f1_score,loss,lr,precision,recall,val_acc,val_f1_score,val_loss,val_precision,val_recall
0,0.9793056845664978,0.015656879171729088,0.18236574530601501,1e-04,0.008887866511940956,0.026337197050452232,0.9950261116027832,0.0,0.1454802304506302,0.0,0.0
1,0.9957839846611023,0.46462053060531616,0.08908043056726456,1e-04,0.6682868003845215,0.40366631746292114,0.9960756301879883,0.3991570770740509,0.07760512083768845,0.7928045392036438,0.2857408821582794
2,0.9964781403541565,0.6144078969955444,0.06071329489350319,1e-04,0.7013838887214661,0.5823580026626587,0.996843159198761,0.6380161643028259,0.053528353571891785,0.7215695977210999,0.5948536992073059
3,0.996949315071106,0.6752937436103821,0.043556541204452515,1e-04,0.7381504774093628,0.6562500596046448,0.9973148703575134,0.6866876482963562,0.03787298873066902,0.7920598983764648,0.6239806413650513
4,0.9973794221878052,0.7250270247459412,0.03211050108075142,1e-04,0.7757493257522583,0.7100903391838074,0.9974018931388855,0.709388256072998,0.028395550325512886,0.7769560217857361,0.6700365543365479
5,0.9976131916046143,0.7522482872009277,0.024746937677264214,1e-04,0.7953470349311829,0.7390697002410889,0.9973340034484863,0.7017654180526733,0.023545173928141594,0.7667657732963562,0.6668312549591064
6,0.9978727698326111,0.7799729704856873,0.019482260569930077,1e-04,0.8214457035064697,0.7641860842704773,0.9974612593650818,0.7429330348968506,0.018299361690878868,0.7341177463531494,0.7676281332969666
7,0.9979488253593445,0.788166344165802,0.015974989160895348,1e-04,0.8273155689239502,0.7739360928535461,0.9967610836029053,0.6976296901702881,0.017502155154943466,0.6431489586830139,0.7836707830429077
8,0.9982212781906128,0.8179534673690796,0.012893623672425747,1e-04,0.8499014377593994,0.8062024712562561,0.9977494478225708,0.7622153759002686,0.01321196835488081,0.7861790657043457,0.7520549297332764
9,0.99839186668396,0.8355048894882202,0.010668854229152203,1e-04,0.864555299282074,0.8253934979438782,0.9976860880851746,0.76874840259552,0.011681349016726017,0.7482134699821472,0.8059622049331665
10,0.9984820485115051,0.8457135558128357,0.009100536815822124,1e-04,0.8727303147315979,0.83482426404953,0.9980020523071289,0.7917454242706299,0.009483711794018745,0.7986360192298889,0.7999967336654663
11,0.9985972046852112,0.8576560616493225,0.0077873715199530125,1e-04,0.8820293545722961,0.8484793901443481,0.9978743195533752,0.7794520258903503,0.009737135842442513,0.7850974798202515,0.788490891456604
12,0.9986392855644226,0.8617468476295471,0.006887175142765045,1e-04,0.8847116231918335,0.854122519493103,0.9980559945106506,0.7870643138885498,0.008001714013516903,0.8314892053604126,0.7639614343643188
13,0.9986826181411743,0.8671974539756775,0.006123867351561785,1e-04,0.8891243934631348,0.858127236366272,0.9979137182235718,0.7891632914543152,0.008164259605109692,0.7761444449424744,0.8158451914787292
14,0.9988058805465698,0.8798038363456726,0.0052750748582184315,1e-04,0.8985685110092163,0.8729393482208252,0.9979950189590454,0.795131504535675,0.007242860738188028,0.7901831269264221,0.8128341436386108
15,0.998702883720398,0.8687803149223328,0.00516871502622962,1e-04,0.8903323411941528,0.8609200716018677,0.9979947209358215,0.7806122899055481,0.0071251667104661465,0.8316771388053894,0.7482303977012634
16,0.9988937973976135,0.8892765045166016,0.004340537823736668,1e-04,0.9051748514175415,0.8835718035697937,0.9981489777565002,0.7948437333106995,0.006553152110427618,0.8548595309257507,0.7562962770462036
17,0.9990092515945435,0.9008081555366516,0.0037601266521960497,1e-04,0.9141396284103394,0.8971018195152283,0.998265266418457,0.8132005929946899,0.00603213207796216,0.8506513237953186,0.7899640202522278
18,0.999040424823761,0.9035325646400452,0.0034245846327394247,1e-04,0.9166544079780579,0.9006034135818481,0.9982898831367493,0.817783534526825,0.005881608463823795,0.8462560176849365,0.8018867373466492
19,0.9990768432617188,0.9068720936775208,0.0031808526255190372,1e-04,0.9202167391777039,0.9039223790168762,0.9982425570487976,0.8066293597221375,0.0060204192996025085,0.861505389213562,0.7705541849136353
